dset,model,sparsity,seed,val_acc
cifar10,Dense,0.0,seed_81,0.9125
cifar10,Dense,0.0,seed_111,0.9121
cifar10,Dense,0.0,seed_141,0.9123
cifar10,AC/DC,0.8,seed_21,0.9087
cifar10,AC/DC,0.8,seed_51,0.909
cifar10,AC/DC,0.8,seed_81,0.9093
cifar10,AC/DC,0.8,seed_111,0.9089
cifar10,AC/DC,0.8,seed_141,0.9087
cifar10,AC/DC,0.9,seed_21,0.91
cifar10,AC/DC,0.9,seed_51,0.91
cifar10,AC/DC,0.9,seed_81,0.9098
cifar10,AC/DC,0.9,seed_111,0.9098
cifar10,AC/DC,0.9,seed_141,0.9101
cifar10,AC/DC,0.95,seed_21,0.9047
cifar10,AC/DC,0.95,seed_51,0.9048
cifar10,AC/DC,0.95,seed_81,0.9045
cifar10,AC/DC,0.95,seed_111,0.9046
cifar10,AC/DC,0.95,seed_141,0.9043
cifar10,RigL ERK 1x,0.9,seed_21,0.8996
cifar10,RigL ERK 1x,0.9,seed_51,0.8992
cifar10,RigL ERK 1x,0.9,seed_81,0.8988
cifar10,RigL ERK 1x,0.9,seed_111,0.9
cifar10,RigL ERK 1x,0.9,seed_141,0.9001
cifar10,RigL ERK 5x,0.9,seed_21,0.9021
cifar10,RigL ERK 5x,0.9,seed_51,0.9033
cifar10,RigL ERK 5x,0.9,seed_81,0.9003
cifar10,RigL ERK 5x,0.9,seed_111,0.9014
cifar10,RigL ERK 5x,0.9,seed_141,0.9005
cifar10,RigL ERK 1x,0.8,seed_21,0.8966
cifar10,RigL ERK 1x,0.8,seed_51,0.8957
cifar10,RigL ERK 1x,0.8,seed_81,0.8978
cifar10,RigL ERK 1x,0.8,seed_111,0.8964
cifar10,RigL ERK 1x,0.8,seed_141,0.8977
cifar10,RigL ERK 5x,0.8,seed_21,0.9019
cifar10,RigL ERK 5x,0.8,seed_51,0.899
cifar10,RigL ERK 5x,0.8,seed_81,0.8995
cifar10,RigL ERK 5x,0.8,seed_111,0.8998
cifar10,RigL ERK 5x,0.8,seed_141,0.9009
cifar10,RigL ERK 1x,0.95,seed_21,0.8939
cifar10,RigL ERK 1x,0.95,seed_51,0.8945
cifar10,RigL ERK 1x,0.95,seed_81,0.8944
cifar10,RigL ERK 1x,0.95,seed_111,0.8937
cifar10,RigL ERK 1x,0.95,seed_141,0.8939
cifar10,RigL ERK 5x,0.95,seed_21,0.8976
cifar10,RigL ERK 5x,0.95,seed_51,0.8986
cifar10,RigL ERK 5x,0.95,seed_81,0.8989
cifar10,RigL ERK 5x,0.95,seed_111,0.8973
cifar10,RigL ERK 5x,0.95,seed_141,0.8989
cifar10,LTH-T,0.8,seed_21,0.8344
cifar10,LTH-T,0.8,seed_51,0.834
cifar10,LTH-T,0.8,seed_81,0.8346
cifar10,LTH-T,0.8,seed_111,0.8347
cifar10,LTH-T,0.8,seed_141,0.8331
cifar10,LTH-T,0.9,seed_21,0.6692
cifar10,LTH-T,0.9,seed_51,0.671
